model,family,mape,rmse,mae,train_time_sec,predict_time_sec
Prophet_Tuned,BEVERAGES,43.23558370876708,41838.385660232816,29945.065206246913,0.12344309999025427,0.03440040000714362
Prophet_Basic,BEVERAGES,46.95808774639338,45341.8906423717,32803.57945839403,0.1324744000012288,0.03430460000527091
Prophet_Reg,BEVERAGES,58.77946504010212,73701.32327053652,65792.36042738403,0.17296139999234583,0.03785619999689516
Prophet_Tuned,CLEANING,124.18224998551722,13540.877702891443,8807.15942490843,0.12879320001229644,0.03565530000196304
Prophet_Reg,CLEANING,124.3766772895949,13529.485398366514,8792.88258904526,0.1514649000018835,0.035744299995712936
Prophet_Basic,CLEANING,131.66121656479157,12947.629586068811,8092.760690666742,0.12557780000497587,0.032696099995519035
Prophet_Tuned,DAIRY,67.25498553621415,8158.169417646312,5025.426774506356,0.16008119999605697,0.03718150001077447
Prophet_Basic,DAIRY,68.12234712391714,8266.837689338985,5173.192223866137,0.11559529999794904,0.034573299999465235
Prophet_Reg,DAIRY,70.13360213067045,8395.639259404157,5408.221973451379,0.14164860000892077,0.03466110001318157
Prophet_Tuned,GROCERY I,90.81959200439262,54011.77698301047,41041.97132129465,0.16482459999679122,0.03775409999070689
Prophet_Reg,GROCERY I,91.00710513083322,52373.87506352351,39037.26264456105,0.13091360000544228,0.035637799999676645
Prophet_Basic,GROCERY I,100.34580144814909,43277.562602793114,25681.10834454889,0.12653080000018235,0.032384199992520735
Prophet_Tuned,PRODUCE,59.99318345487566,22902.37020658096,16361.023985840375,0.29810600000200793,0.0356368999928236
Prophet_Reg,PRODUCE,69.67992082980736,38637.35407004847,31823.82029035043,0.1208492000005208,0.0341136000060942
Prophet_Basic,PRODUCE,70.67214150925135,38425.690139874314,32147.503542810824,0.12129959999583662,0.03269059999729507
