family,sarima_mape,prophet_mape,xgboost_mape,best_single_model,best_single_mape,weighted_avg_mape
GROCERY I,65.24098517641245,90.81959200439262,52.84823911308006,XGBoost_Tuned,52.84823911308006,66.2826185024269
BEVERAGES,49.70139697719343,43.23558370876708,26.010450763798115,XGBoost_Tuned,26.010450763798115,36.72180053135254
PRODUCE,79.777142701581,59.99318345487566,25.056473643294723,XGBoost_Tuned,25.056473643294723,43.40696969206724
CLEANING,139.78183611441256,124.18224998551722,88.97786664722075,XGBoost_Tuned,88.97786664722075,113.44112468409595
DAIRY,89.45124185258987,67.25498553621415,49.62861591706912,XGBoost_Tuned,49.62861591706912,64.93826106123005
